Mother Prompt,Child Response,Raw Score,Extracted Score
oh here's a horsie .,ride mommy .,4,4.0
she says she's going shopping .,what is that ?,2,2.0
shall we go down and see what Daddy's doing ?,no .,2,2.0
have you been in a tent ?,yes .,4,4.0
you do know !,it's an e .,2,2.0
why is he bad ?,because he .,2,2.0
oh is it raining ?,yeah .,4,4.0
look at him .,there .,3,3.0
here you are then .,and .,3,3.0
where's panda's car ?,in the field .,3,3.0
what else did you pretend this was ?,a rod .,3,3.0
you pull the box and I'll put these things in it .,that's what i'm doing .,3,3.0
let's go back through here .,mommy let me make .,2,2.0
this is to buy the things here .,what ?,2,2.0
do you want me to put it under the cushion ?,no .,3,3.0
you're going to play in there .,i'm going to play .,4,4.0
I think that looks like a Uwww one .,"mummy , look at my name .",3,3.0
I was wondering who told you your neck needed washing .,please .,2,2.0
where you going ?,i want my daddy to come in .,3,3.0
I'll just put this in for another ten seconds .,look .,3,3.0
but not right now .,still wet .,2,2.0
just a second .,you mean cocoa krispies ?,3,3.0
who's the naughty bus ?,boys in red group .,4,4.0
dry your hands .,where's her hand ?,2,2.0
waking her up .,wake her up .,3,3.0
how many are there ?,one two three four five .,4,4.0
that's the ketchup ?,uhhuh .,3,3.0
that's not a very good idea though .,no .,3,3.0
"hello , Puss .",no .,0,0.0
"I think they're all friends together , aren't they ?",let's make a house there .,2,2.0
mind the oven .,okay .,4,4.0
look how pink your bath is from putting all that stuff in .,shall i show you what it is ?,3,3.0
ah there's some money .,thank you .,4,4.0
what're you making ?,a big big tower .,4,4.0
he has gone ?,yes .,4,4.0
it's a wet one .,no .,2,2.0
you've used lots of soap .,what are these ?,3,3.0
if we get a bit organized .,yeah .,4,4.0
going to give them some drinks ?,yep .,4,4.0
beggars can't be choosers .,no .,2,2.0
is this a good track ?,yeah .,4,4.0
we can't take them now .,and my shoe off .,2,2.0
think he's judging anything ?,yeah .,3,3.0
there's no more pigs .,pig .,2,2.0
what's the matter ?,look .,3,3.0
oh very nice .,and a car .,3,3.0
"well, why don't you use a different dinosaur to tell a story .",no .,2,2.0
what does that spell ?,spray around your head .,1,1.0
finished with the cheese ?,yeah .,4,4.0
have you got your bus fare ?,now .,2,2.0
red slippers with Pooh Bear on .,a the .,2,2.0
why don't you show them to the dolly ?,dolly .,3,3.0
kind of looks like he's thinking .,i don't know .,3,3.0
you sit next to him and show him how to do it .,there .,3,3.0
"no, that's silly .",elephant .,3,3.0
what is it ?,chocolate chip .,4,4.0
it's a lucky bet .,huh ?,2,2.0
let me see a b f .,bunny .,4,4.0
that's the green one .,right there .,4,4.0
that thing he's got in his hand .,the man not have a hand has one,2,2.0
that's the zebra .,yyy .,3,3.0
that's called a scorpion .,it's not a scorpion .,2,2.0
by the pond .,no .,2,2.0
so maybe grandma grandpa will watch .,grandma grandpa .,3,3.0
where're we going ?,to have a tea party .,4,4.0
see how that fits together like that see how snug they are when you do them the right way ?,yeah .,4,4.0
what was it ?,that was daddy trumping .,3,3.0
they can hang it up like this and it will go shh .,yeah .,4,4.0
you're a nice girl .,a hat on .,2,2.0
well I tell you be respectful .,kitten .,2,2.0
what's he doing ?,lying down .,4,4.0
do you think Charlie's a boy or a girl ?,i think she's a boy .,4,4.0
Ellie loves board .,thank you .,3,3.0
what do you think that is ?,a mouth .,4,4.0
to make sure you stay safe .,are we .,3,3.0
who's his friend ?,", the mommy .",3,3.0
put her clothes on .,clothes .,3,3.0
I don't know .,i don't want a look .,2,2.0
num num they're going to eat the apples .,eat apples .,4,4.0
what is it then ?,it's a square .,4,4.0
you want to do it this time ?,uhhuh .,3,3.0
you going to put all the animals back now ?,yup .,4,4.0
"I think they've all got butterflies on , Helen .",wow .,4,4.0
will it go really fast ?,yeah .,4,4.0
"it is , Darling .",that .,3,3.0
"that goes in that tub , doesn't it ?",yeah .,4,4.0
let's go and see if you've tidied up .,yeah .,4,4.0
oh well you see .,you know i'm just pretending .,3,3.0
"it is , Darling .",i got it from america .,3,3.0
I'll just put this in for another ten seconds .,why ?,3,3.0
this is to buy the things here .,look .,2,2.0
that's called a scorpion .,i know what this called .,3,3.0
where you going ?,in here .,3,3.0
you want to do it this time ?,yeah .,4,4.0
it's a lucky bet .,yeah .,4,4.0
see how that fits together like that see how snug they are when you do them the right way ?,yeah .,4,4.0
mind the oven .,that's not the real one .,3,3.0
that's the green one .,pop !,2,2.0
"no, that's silly .",a ducky .,3,3.0
you've used lots of soap .,and soaps .,3,3.0
oh very nice .,yeah .,3,3.0
ah there's some money .,thank you .,4,4.0
I think that looks like a Uwww one .,yeah .,3,3.0
will it go really fast ?,a little bit faster .,4,4.0
kind of looks like he's thinking .,what is he doing ?,3,3.0
you're a nice girl .,i don't need the blanketie .,3,3.0
by the pond .,the lion .,2,2.0
have you been in a tent ?,which one ?,3,3.0
how many are there ?,one .,3,3.0
let's go back through here .,want to do it .,3,3.0
have you finished ?,yes .,4,4.0
"la , la , la .","la , la , la .",4,4.0
what is it ?,a cake .,3,3.0
"that goes in that tub , doesn't it ?",can't find the cat .,1,1.0
he has gone ?,nin nin .,2,2.0
we can't take them now .,i want to .,2,2.0
that's the zebra .,yyy yyy .,2,2.0
what do you think that is ?,"a, cow .",4,4.0
he wants to be your friend .,yeah .,4,4.0
let's go and see if you've tidied up .,that goes there .,3,3.0
I was wondering who told you your neck needed washing .,yes i am .,2,2.0
I think so .,no .,2,2.0
have you got your bus fare ?,in the van .,3,3.0
why is he bad ?,because he's a good boy .,2,2.0
what else did you pretend this was ?,stable .,0,0.0
she says she's going shopping .,why ?,3,3.0
so maybe grandma grandpa will watch .,i will see .,3,3.0
who's his friend ?,the kangaroo .,4,4.0
put them on the wall and then it's time for you to be clean .,yeah .,4,4.0
where're we going ?,to stockport .,4,4.0
you sit next to him and show him how to do it .,yeah .,4,4.0
you do know !,what is it ?,3,3.0
just a second .,what is this ?,3,3.0
what was it ?,a lion .,4,4.0
they can hang it up like this and it will go shh .,oh .,3,3.0
that's not a very good idea though .,no .,3,3.0
red slippers with Pooh Bear on .,a two smarties .,1,1.0
maybe Big Bird helped him .,oh yeah .,4,4.0
there's no more pigs .,no .,3,3.0
"hello , Puss .",i'm going to eat you up .,1,1.0
that thing he's got in his hand .,uhhuh .,3,3.0
do you want me to put it under the cushion ?,uhhuh .,4,4.0
Ellie loves board .,thank you .,3,3.0
oh is it raining ?,no .,2,2.0
shall we go down and see what Daddy's doing ?,yes .,4,4.0
you're going to play in there .,in the .,3,3.0
it's a wet one .,yeah .,3,3.0
put her clothes on .,there's a lady there .,2,2.0
dry your hands .,ah .,3,3.0
to make sure you stay safe .,mm a cradle .,3,3.0
here you are then .,here you are .,3,3.0
well I tell you be respectful .,okay .,4,4.0
you pull the box and I'll put these things in it .,i don't know .,3,3.0
you going to put all the animals back now ?,no .,2,2.0
don't be long .,what is that ?,2,2.0
what does that spell ?,mummy .,3,3.0
what is it then ?,a book .,3,3.0
let me see a b f .,b b b b .,1,1.0
it's like in the grocery store when go shopping .,mhm .,3,3.0
finished with the cheese ?,cheese .,3,3.0
going to give them some drinks ?,what ?,2,2.0
and dog goes with the bones .,and the .,3,3.0
"I think they've all got butterflies on , Helen .",did they ?,3,3.0
where's panda's car ?,in the car .,3,3.0
beggars can't be choosers .,on my feet .,2,2.0
"I think they're all friends together , aren't they ?",yeah .,4,4.0
what's he doing ?,jumping up .,4,4.0
"well, why don't you use a different dinosaur to tell a story .",what's this ?,2,2.0
why don't you show them to the dolly ?,i have done it .,3,3.0
I don't know .,what's this one ?,3,3.0
is this a good track ?,blue .,1,1.0
but not right now .,huh ?,2,2.0
if we get a bit organized .,why ?,2,2.0
what're you making ?,making a tower .,4,4.0
who's the naughty bus ?,daddy .,3,3.0
oh well you see .,wait .,3,3.0
oh here's a horsie .,pig .,2,2.0
do you think Charlie's a boy or a girl ?,a boy .,4,4.0
what's the matter ?,look at them .,3,3.0
think he's judging anything ?,what ?,2,2.0
did you blow anything out ?,yeah .,3,3.0
that's the ketchup ?,yeah .,4,4.0
waking her up .,mhm .,3,3.0
look how pink your bath is from putting all that stuff in .,look .,3,3.0
will it go really fast ?,yeah .,4,4.0
you do know !,is dinosaur supposed to be on his ?,2,2.0
what's he doing ?,he's driving his car .,4,4.0
what's the matter ?,you was hiding .,3,3.0
kind of looks like he's thinking .,that's not a a shoe .,2,2.0
there's no more pigs .,there no more pigs .,3,3.0
here you are then .,i did it !,3,3.0
where you going ?,yeah .,1,1.0
I think that looks like a Uwww one .,uwww one ?,2,2.0
where're we going ?,a chip shop .,4,4.0
it's like in the grocery store when go shopping .,yyy .,2,2.0
shall we go down and see what Daddy's doing ?,no !,2,2.0
going to give them some drinks ?,here's the drinks .,3,3.0
that's called a scorpion .,yeah .,4,4.0
oh here's a horsie .,ride mommy .,4,4.0
it's a lucky bet .,lucky betsy ?,3,3.0
"la , la , la .","la , la , la .",4,4.0
do you want me to put it under the cushion ?,you put it under settee .,4,4.0
maybe Big Bird helped him .,xxx .,0,0.0
have you finished ?,no .,3,3.0
that's the ketchup ?,this is milk .,1,1.0
I was wondering who told you your neck needed washing .,right now .,2,2.0
have you got your bus fare ?,here .,4,4.0
have you been in a tent ?,he has .,3,3.0
let's go and see if you've tidied up .,that go in there .,3,3.0
this is to buy the things here .,yeah .,3,3.0
why is he bad ?,"cause he hates um um, in a tree .",2,2.0
that's the zebra .,zebra .,4,4.0
what is it then ?,it's a circle .,4,4.0
oh very nice .,yeah .,3,3.0
I don't think the sheep'd eat the cow up .,"there you go, cow .",3,3.0
but I don't like blowing up balloons and hitting balloons .,i'm going to bring that balloon away .,2,2.0
well you can't make him really lay down you have to pretend .,make him walk really high .,3,3.0
well you could decorate that biscuit that you've just taken the sweeties off .,no .,2,2.0
I don't think the sheep'd eat the cow up .,"there you go, cow .",3,3.0
but I don't like blowing up balloons and hitting balloons .,i'm going to bring that balloon away .,2,2.0
well you can't make him really lay down you have to pretend .,make him walk really high .,3,3.0
well you could decorate that biscuit that you've just taken the sweeties off .,no .,2,2.0
I don't think the sheep'd eat the cow up .,"there you go, cow .",3,3.0
but I don't like blowing up balloons and hitting balloons .,i'm going to bring that balloon away .,2,2.0
well you can't make him really lay down you have to pretend .,make him walk really high .,3,3.0
well you could decorate that biscuit that you've just taken the sweeties off .,no .,2,2.0
cover your mouth .,hey diddle diddle .,1,1.0
what did you do ?,did i fell ?,2,2.0
you know the gym that Mummy goes to ?,what ?,1,1.0
snip snip snip .,nin nin .,2,2.0
I'll just open the blinds a bit .,oh .,3,3.0
don't get that in here .,why .,2,2.0
you want the telephone ?,yeah .,4,4.0
oh I didn't realize they belong to the Lego set .,that one ?,3,3.0
or a man ?,they're not men .,3,3.0
do they go boom ?,no .,3,3.0
you can't squeak keep .,yyy .,2,2.0
he's swimming across the river carrying his car .,yeah .,2,2.0
I don't think the sheep'd eat the cow up .,"there you go, cow .",3,3.0
but I don't like blowing up balloons and hitting balloons .,i'm going to bring that balloon away .,2,2.0
well you can't make him really lay down you have to pretend .,make him walk really high .,3,3.0
well you could decorate that biscuit that you've just taken the sweeties off .,no .,2,2.0
cover your mouth .,hey diddle diddle .,1,1.0
what did you do ?,did i fell ?,2,2.0
you know the gym that Mummy goes to ?,what ?,1,1.0
snip snip snip .,nin nin .,2,2.0
I'll just open the blinds a bit .,oh .,3,3.0
don't get that in here .,why .,2,2.0
you want the telephone ?,yeah .,4,4.0
oh I didn't realize they belong to the Lego set .,that one ?,3,3.0
or a man ?,they're not men .,3,3.0
do they go boom ?,no .,3,3.0
you can't squeak keep .,yyy .,2,2.0
he's swimming across the river carrying his car .,yeah .,2,2.0
I don't think the sheep'd eat the cow up .,"there you go, cow .",3,3.0
but I don't like blowing up balloons and hitting balloons .,i'm going to bring that balloon away .,2,2.0
well you can't make him really lay down you have to pretend .,make him walk really high .,3,3.0
well you could decorate that biscuit that you've just taken the sweeties off .,no .,2,2.0
cover your mouth .,hey diddle diddle .,1,1.0
what did you do ?,did i fell ?,2,2.0
you know the gym that Mummy goes to ?,what ?,1,1.0
snip snip snip .,nin nin .,2,2.0
I'll just open the blinds a bit .,oh .,3,3.0
don't get that in here .,why .,2,2.0
you want the telephone ?,yeah .,4,4.0
oh I didn't realize they belong to the Lego set .,that one ?,3,3.0
or a man ?,they're not men .,3,3.0
do they go boom ?,no .,3,3.0
you can't squeak keep .,yyy .,2,2.0
he's swimming across the river carrying his car .,yeah .,2,2.0
I don't think the sheep'd eat the cow up .,"there you go, cow .",3,3.0
but I don't like blowing up balloons and hitting balloons .,i'm going to bring that balloon away .,2,2.0
well you can't make him really lay down you have to pretend .,make him walk really high .,3,3.0
well you could decorate that biscuit that you've just taken the sweeties off .,no .,2,2.0
cover your mouth .,hey diddle diddle .,1,1.0
what did you do ?,did i fell ?,2,2.0
you know the gym that Mummy goes to ?,what ?,1,1.0
snip snip snip .,nin nin .,2,2.0
I'll just open the blinds a bit .,oh .,3,3.0
don't get that in here .,why .,2,2.0
you want the telephone ?,yeah .,4,4.0
oh I didn't realize they belong to the Lego set .,that one ?,3,3.0
or a man ?,they're not men .,3,3.0
do they go boom ?,no .,3,3.0
you can't squeak keep .,yyy .,2,2.0
he's swimming across the river carrying his car .,yeah .,2,2.0
I don't think the sheep'd eat the cow up .,"there you go, cow .",3,3.0
but I don't like blowing up balloons and hitting balloons .,i'm going to bring that balloon away .,2,2.0
well you can't make him really lay down you have to pretend .,make him walk really high .,3,3.0
well you could decorate that biscuit that you've just taken the sweeties off .,no .,2,2.0
cover your mouth .,hey diddle diddle .,1,1.0
what did you do ?,did i fell ?,2,2.0
you know the gym that Mummy goes to ?,what ?,1,1.0
snip snip snip .,nin nin .,2,2.0
I'll just open the blinds a bit .,oh .,3,3.0
don't get that in here .,why .,2,2.0
you want the telephone ?,yeah .,4,4.0
oh I didn't realize they belong to the Lego set .,that one ?,3,3.0
or a man ?,they're not men .,3,3.0
do they go boom ?,no .,3,3.0
you can't squeak keep .,yyy .,2,2.0
he's swimming across the river carrying his car .,yeah .,2,2.0
did you tell Inv that ?,it's stuck in my jam .,2,2.0
"how many books do you think are down there , Helen ?",we didn't count them all .,3,3.0
"she wants to wear that , does she ?",yeah .,3,3.0
"try it in that one , Rube .",i think that one .,3,3.0
I thought it'd be worse than that .,mummy do .,2,2.0
yeah but how do you win the game ?,it has to have this color .,2,2.0
twirl it over the top of the big cube of butter .,i want that one .,3,3.0
how about we get danny dressed ?,i get him dressed in .,2,2.0
it's a cookie .,cookie jar .,3,3.0
no you put them together .,i can't .,2,2.0
where did we go ?,i don't know .,2,2.0
which ones are big ?,it's small .,1,1.0
oh no that's hair .,but that's the body .,2,2.0
you know what a crab is .,is it a crocodile ?,1,1.0
are you going to watch me wind this cord up ?,yeah .,3,3.0
there you go .,what's in here ?,3,3.0
pink green and orange .,blue .,2,2.0
I've hurt my elbow .,i didn't .,1,1.0
I want them picking up and putting in that basket .,i want .,1,1.0
don't squoosh it .,oh it gone .,2,2.0
is it all gone now ?,yeah .,3,3.0
and another one there .,the lamb .,4,4.0
it doesn't come off .,doesn't come off .,2,2.0
do Peppa pig and Mummy pig have a boat mobile ?,yeah .,3,3.0
"where did we see lots of animals , darling ?",lions .,4,4.0
there's you and the dolphin .,yeah .,2,2.0
"what're you like , child ?",nothing .,2,2.0
what else did you .,no .,2,2.0
I think it's a tiger .,a tiger !,4,4.0
because you've used it a lot now .,mhm .,3,3.0
are you my mother ?,yeah .,3,3.0
what says oink oink ?,like clip on like that .,2,2.0
he says it's too short for him too sometimes .,yeah .,3,3.0
it's not a crab .,lobster .,4,4.0
that was pretty cool .,yeah .,3,3.0
do you want to build one for sissy to knock over ?,whoa .,3,3.0
what's your other cousin named ?,hi .,0,0.0
how do you get it back ?,we take the sled around .,2,2.0
you want those over ?,no .,2,2.0
you just said “s t” .,puttaputta .,3,3.0
I don't understand you .,where ?,2,2.0
put it on the table .,table .,4,4.0
you want to draw some more or you want to play with the house ?,house .,3,3.0
does he get a fork ?,yeah .,3,3.0
you're putting some cream on ?,get it .,2,2.0
does that mean you're going to eat it for him ?,yeah .,3,3.0
maybe that's the Daddy one .,that's the mummy one .,3,3.0
"Helen , will you stop jumping like that ?",no .,1,1.0
remember your birthday party ?,who's it from ?,"2

The child's response is relevant to the",2.0
you always go to the toilet when we're playing .,yeah .,2,2.0
we've been reading about Pippo .,hm ?,2,2.0
there you are .,no .,2,2.0
has cheetah got spots or stripes ?,stripes .,4,4.0
are you doing it upside-down again ?,yeah .,3,3.0
and in fact the sofa .,then it,2,2.0
that's not right .,that isn't .,3,3.0
what did you say ?,that .,2,2.0
Nwww's going to be at the park as well .,and ewww ?,2,2.0
he's got a hat on as well .,oh .,3,3.0
what do you want to do then ?,nothing .,2,2.0
were you crying at playgroup today ?,she was .,2,2.0
but that's different from a people's from an animals tail .,yeah .,3,3.0
there's the key in the door .,no .,2,2.0
"you know what that is , what kind of animal that is ?",a zebra .,4,4.0
you may play with the bubbles .,yeah .,3,3.0
"you dropped it , didn't you ?",yeah .,3,3.0
can you blow a little bit first ?,no .,1,1.0
is Dipsy going to sit with Po and Lala ?,nin nin .,1,1.0
that's an apple .,a this ?,2,2.0
it was a .,it's a .,3,3.0
are those people back from their trip ?,yup .,3,3.0
the green light on these two microphones .,huh ?,1,1.0
you want to put the bottles in there ?,no .,2,2.0
he's wearing his special cap .,police do it .,2,2.0
I had a car can I use this car ?,no cars !,1,1.0
it's a kitty cat .,meow .,3,3.0
we haven't planted it yet .,just leave it in there and then .,2,2.0
"what , darling ?",you sit on that chair .,3,3.0
are you waiting for the bus ?,waiting for the bus .,2,2.0
Mwww tennis shoes ?,i'm wearing my as a other then i'm wearing my as a boy .,2,2.0
"well done , Helen .",the white .,2,2.0
sharp pointy claws .,silk .,3,3.0
are you going to go and deliver all the letters on the street ?,yeah .,3,3.0
what have you got there ?,no .,2,2.0
hm that's Bert .,that's ernie .,3,3.0
two feet then you walk up .,i can't do it .,2,2.0
"so who've you got now then , Dominic ?",mhm .,2,2.0
just move everything so that Amy can't destroy it .,i'm making .,2,2.0
where was he ?,under my bed .,4,4.0
and you can have it back .,what's this ?,3,3.0
okay what else can you tell me about this kid ?,uh that's it .,1,1.0
well if you want to put anything else in there you'll have to take your bus out .,okay .,3,3.0
"they can go because they've got crash helmets on , haven't they ?",oh look .,2,2.0
should I use a fat one ?,yeah .,3,3.0
"Mummy's still got a sore knee , Fraser .",huh ?,1,1.0
do you want the song or do you want to sing the song ?,i singing the song .,2,2.0
you want something to wipe it ?,yeah .,4,4.0
is that pretty spiffy ?,yes .,3,3.0
can you get them ?,mommy get .,2,2.0
just got out of the bath and he's cold .,no .,1,1.0
did you just sit there quietly or what did you do on the plane ?,play .,3,3.0
this one's got a raisin on .,why ?,3,3.0
look on my nose .,it's all wet .,3,3.0
what if it burns your mouth ?,it'll burn my tongue .,2,2.0
"but what, what is she playing ?",she's playing the xylophone .,4,4.0
was that yummy ?,yeah .,3,3.0
"it's called a boa constrictor , Thomas .",i don't like it .,2,2.0
no you had Bob the Builder last year .,yeah .,2,2.0
good do you hear it popping ?,pop .,3,3.0
read it again .,now read it .,2,2.0
what's a pig say ?,sno snor .,3,3.0
well it's a very nice bedroom .,what .,2,2.0
wind up toys .,wind up toys .,3,3.0
that Mummy's just done ?,nin nin .,2,2.0
would you ask him if he'd like some more ?,please .,2,2.0
when Mummy and Daddy lived in Didsbury .,mhm ?,2,2.0
there you go .,that's a rabbit .,3,3.0
want to go and see what Auntie Lwww is doing ?,no .,2,2.0
there you are .,i'm the shopkeeper .,2,2.0
once you put that one down I've got the challenge for you .,yes please .,4,4.0
that that is why he was always called Pooh .,here .,2,2.0
who should be on the merrygoround ?,a big bear .,3,3.0
well there's still a lot of dirt on the ground from the snow .,yes please .,2,2.0
one nice green leaf .,and one .,3,3.0
oh you can do it there too .,oh .,3,3.0
actually it goes over here .,no .,2,2.0
well I thought that might be a nice one to send to Grandad .,did you not ?,3,3.0
have you really .,no .,2,2.0
finish this and then I'll .,this is a .,2,2.0
you want to hear Daddy ?,yeah .,4,4.0
how do you get that out I don't know if it opens .,how does it open ?,3,3.0
let's get your clothes off .,can you get it off ?,3,3.0
Aunty Tricia has got a rabbit called Molly .,yes .,2,2.0
oh did it fall off ?,yes .,3,3.0
those are yes .,nin nin .,2,2.0
see if you can write that .,xxx .,0,0.0
think he's cold ?,yeah .,3,3.0
actually there are quite a few that have gone .,two .,2,2.0
and what about P B Bear .,no .,2,2.0
do you know a story about Meg ?,yeah .,3,3.0
you need to go and jump in that bath quickly .,no .,2,2.0
is this a big box or a little box ?,big box .,4,4.0
I think he wants to go out .,out .,2,2.0
do you think it looks a bit like Sukie ?,no .,2,2.0
you're laughing as well .,yeah .,4,4.0
"I'm not very good at this , am I ?",too big .,2,2.0
put him on the car ?,no .,2,2.0
I think they really want you on this mat .,yeah .,3,3.0
"yeh , what is that right there ?",car .,3,3.0
you call me .,okay .,2,2.0
"come on , Thomas .",come on .,3,3.0
not a shirt ?,no .,3,3.0
almost done now .,there's more .,2,2.0
and you went straight back to sleep because Mummy said that Mummy and Daddy were still sleeping .,yeah .,3,3.0
Curtis was crying ?,no .,2,2.0
Mommy wants to eat .,eat .,1,1.0
let's leave some must haveche for Leila .,hello .,0,0.0
but you're not trying .,i'll break it .,1,1.0
want a nice lolly .,there you go .,3,3.0
you've done two of them .,oh,2,2.0
you can't because I'm stopping you leaning on me .,why ?,3,3.0
and he'll have a present ?,yeah .,3,3.0
you're going to give it to Mom ?,uhhuh .,2,2.0
was the slide in the garden ?,i like slides in the backyard .,3,3.0
you be careful where you're hitting people please .,don't be daft .,2,2.0
you have a car in the back yard ?,a your my mine .,1,1.0
c comes in front .,c comes in the b c d e f g .,2,2.0
then we can put him by there .,now where's .,2,2.0
"like me , no .",like,2,2.0
bit of cheese .,look .,2,2.0
you can use those to draw .,bang,1,1.0
make sure it's straight .,straight .,3,3.0
what color nose should we put on this guy ?,purple .,3,3.0
can you do that ?,no .,2,2.0
well that was a big one .,big one .,2,2.0
dolly's knickers in your hair ?,yeah .,3,3.0
you don't need to wipe your nose .,i got wipe nose .,2,2.0
why would I wash your hair twice ?,only ronald .,2,2.0
it's a trunk .,bird .,1,1.0
you tell Mama how much you love Mama .,this much .,3,3.0
what do you want to play ?,that .,2,2.0
that's the horsie .,that's horsie .,4,4.0
what's not sweet ?,this is sweet .,3,3.0
there you go .,where are the doctors at ?,2,2.0
